series,date,twd_predawn,mds,n_obs,mds_max,twd_norm,mds_norm,drought_stress_onset
P11,2025-01-16,926,1166,96,2030.3599999999997,0.45607675486120697,0.5742823932701591,FALSE
P11,2025-01-17,1023,1130,96,2030.3599999999997,0.5038515337181584,0.5565515475088163,FALSE
P11,2025-01-18,957,1109,96,2030.3599999999997,0.4713449831556966,0.5462085541480329,FALSE
P11,2025-01-19,954,1433,96,2030.3599999999997,0.4698674126755847,0.7057861660001183,FALSE
P11,2025-01-20,1044,1436,96,2030.3599999999997,0.5141945270789418,0.7072637364802302,FALSE
P11,2025-01-21,1090,1440,96,2030.3599999999997,0.5368506077739909,0.7092338304537128,FALSE
P11,2025-01-22,1062,1427,96,2030.3599999999997,0.5230599499596131,0.7028310250398945,FALSE
P11,2025-01-23,1075,1379,96,2030.3599999999997,0.5294627553734313,0.6791898973581041,FALSE
P11,2025-01-24,1088,1382,96,2030.3599999999997,0.5358655607872497,0.680667467838216,FALSE
P11,2025-01-25,1086,1393,96,2030.3599999999997,0.5348805138005084,0.686085226265293,FALSE
P11,2025-01-26,1086,1364,96,2030.3599999999997,0.5348805138005084,0.6718020449575446,FALSE
P11,2025-01-27,1166,1366,96,2030.3599999999997,0.5742823932701591,0.6727870919442859,FALSE
P11,2025-01-28,1159,1325,96,2030.3599999999997,0.5708347288165646,0.6525936287160898,FALSE
P11,2025-01-29,1153,1307,96,2030.3599999999997,0.5678795878563409,0.6437282058354185,FALSE
P11,2025-01-30,1130,1332,96,2030.3599999999997,0.5565515475088163,0.6560412931696843,FALSE
P11,2025-01-31,1061,1327,96,2030.3599999999997,0.5225674264662425,0.6535786757028311,FALSE
P11,2025-02-01,1077,1192,96,2030.3599999999997,0.5304478023601726,0.5870880040977956,FALSE
P11,2025-02-02,1183,1260,96,2030.3599999999997,0.5826552926574599,0.6205796016469987,FALSE
P11,2025-02-03,1204,1350,96,2030.3599999999997,0.5929982860182431,0.6649067160503557,FALSE
P11,2025-02-04,1261,1378,96,2030.3599999999997,0.6210721251403692,0.6786973738647335,FALSE
